,28y climatology,date2,month2,latlon,mdll
54,4.138388,01,01,35.25|271.75,01|01|35.25|271.75
55,4.382671,01,01,35.25|273.75,01|01|35.25|273.75
56,4.030334,01,01,35.25|275.75,01|01|35.25|275.75
57,5.310619,01,01,35.25|277.75,01|01|35.25|277.75
58,5.945338,01,01,35.25|279.75,01|01|35.25|279.75
59,7.496505,01,01,35.25|281.75,01|01|35.25|281.75
60,7.5555797,01,01,37.25|239.75,01|01|37.25|239.75
61,0.33647448,01,01,37.25|241.75,01|01|37.25|241.75
62,1.0668213,01,01,37.25|243.75,01|01|37.25|243.75
63,1.3590127,01,01,37.25|245.75,01|01|37.25|245.75
64,-1.7451464,01,01,37.25|247.75,01|01|37.25|247.75
65,-1.1246477,01,01,37.25|249.75,01|01|37.25|249.75
66,-4.457318,01,01,37.25|251.75,01|01|37.25|251.75
67,-9.734041,01,01,37.25|253.75,01|01|37.25|253.75
68,-1.0181952,01,01,37.25|255.75,01|01|37.25|255.75
69,-0.4748017,01,01,37.25|257.75,01|01|37.25|257.75
70,-0.23959006,01,01,37.25|259.75,01|01|37.25|259.75
71,1.0111524,01,01,37.25|261.75,01|01|37.25|261.75
72,0.5376053,01,01,37.25|263.75,01|01|37.25|263.75
73,0.85108596,01,01,37.25|265.75,01|01|37.25|265.75
74,0.5429775,01,01,37.25|267.75,01|01|37.25|267.75
75,0.78468007,01,01,37.25|269.75,01|01|37.25|269.75
76,1.753547,01,01,37.25|271.75,01|01|37.25|271.75
77,2.15367,01,01,37.25|273.75,01|01|37.25|273.75
78,2.4312236,01,01,37.25|275.75,01|01|37.25|275.75
79,2.5562015,01,01,37.25|277.75,01|01|37.25|277.75
80,1.5711701,01,01,37.25|279.75,01|01|37.25|279.75
81,5.55363,01,01,37.25|281.75,01|01|37.25|281.75
82,7.7481904,01,01,39.25|237.75,01|01|39.25|237.75
83,-0.1495886,01,01,39.25|239.75,01|01|39.25|239.75
84,-0.52885795,01,01,39.25|241.75,01|01|39.25|241.75
85,-3.5627208,01,01,39.25|243.75,01|01|39.25|243.75
86,-4.712019,01,01,39.25|245.75,01|01|39.25|245.75
87,-3.2046115,01,01,39.25|247.75,01|01|39.25|247.75
88,-4.9317503,01,01,39.25|249.75,01|01|39.25|249.75
89,-5.978682,01,01,39.25|251.75,01|01|39.25|251.75
90,-10.724006,01,01,39.25|253.75,01|01|39.25|253.75
91,-2.9759862,01,01,39.25|255.75,01|01|39.25|255.75
92,-2.939913,01,01,39.25|257.75,01|01|39.25|257.75
93,-2.5724304,01,01,39.25|259.75,01|01|39.25|259.75
94,-2.5248513,01,01,39.25|261.75,01|01|39.25|261.75
95,-2.1709354,01,01,39.25|263.75,01|01|39.25|263.75
96,-2.2442715,01,01,39.25|265.75,01|01|39.25|265.75
97,-2.4666016,01,01,39.25|267.75,01|01|39.25|267.75
98,-1.707383,01,01,39.25|269.75,01|01|39.25|269.75
99,-1.2925591,01,01,39.25|271.75,01|01|39.25|271.75
100,-0.5311529,01,01,39.25|273.75,01|01|39.25|273.75
101,0.111737385,01,01,39.25|275.75,01|01|39.25|275.75
102,0.5839461,01,01,39.25|277.75,01|01|39.25|277.75
103,0.6124077,01,01,39.25|279.75,01|01|39.25|279.75
104,1.2034061,01,01,39.25|281.75,01|01|39.25|281.75
105,2.4404001,01,01,39.25|283.75,01|01|39.25|283.75
106,0.89792824,01,01,41.25|237.75,01|01|41.25|237.75
107,-2.081704,01,01,41.25|239.75,01|01|41.25|239.75
108,-2.5036619,01,01,41.25|241.75,01|01|41.25|241.75
109,-5.3372703,01,01,41.25|243.75,01|01|41.25|243.75
110,-4.169341,01,01,41.25|245.75,01|01|41.25|245.75
111,-2.2732823,01,01,41.25|247.75,01|01|41.25|247.75
112,-8.330593,01,01,41.25|249.75,01|01|41.25|249.75
113,-7.60655,01,01,41.25|251.75,01|01|41.25|251.75
114,-8.586343,01,01,41.25|253.75,01|01|41.25|253.75
115,-3.1207087,01,01,41.25|255.75,01|01|41.25|255.75
116,-3.8170545,01,01,41.25|257.75,01|01|41.25|257.75
117,-5.3747616,01,01,41.25|259.75,01|01|41.25|259.75
118,-5.7351146,01,01,41.25|261.75,01|01|41.25|261.75
119,-5.3278894,01,01,41.25|263.75,01|01|41.25|263.75
120,-5.482816,01,01,41.25|265.75,01|01|41.25|265.75
121,-5.080829,01,01,41.25|267.75,01|01|41.25|267.75
122,-4.793899,01,01,41.25|269.75,01|01|41.25|269.75
123,-3.5759044,01,01,41.25|271.75,01|01|41.25|271.75
124,-3.2775102,01,01,41.25|273.75,01|01|41.25|273.75
125,-2.4959595,01,01,41.25|275.75,01|01|41.25|275.75
126,-1.7112554,01,01,41.25|277.75,01|01|41.25|277.75
127,-2.0208666,01,01,41.25|279.75,01|01|41.25|279.75
128,-2.1677938,01,01,41.25|281.75,01|01|41.25|281.75
129,-2.0273497,01,01,41.25|283.75,01|01|41.25|283.75
130,-1.5228553,01,01,41.25|285.75,01|01|41.25|285.75
131,-0.4016744,01,01,41.25|287.75,01|01|41.25|287.75
132,-2.075887,01,01,43.25|237.75,01|01|43.25|237.75
133,-3.9954839,01,01,43.25|239.75,01|01|43.25|239.75
134,-5.529384,01,01,43.25|241.75,01|01|43.25|241.75
135,-1.4249735,01,01,43.25|243.75,01|01|43.25|243.75
136,-5.5875807,01,01,43.25|245.75,01|01|43.25|245.75
137,-6.636508,01,01,43.25|247.75,01|01|43.25|247.75
138,-11.477197,01,01,43.25|249.75,01|01|43.25|249.75
139,-7.5390606,01,01,43.25|251.75,01|01|43.25|251.75
140,-4.65224,01,01,43.25|253.75,01|01|43.25|253.75
141,-4.966917,01,01,43.25|255.75,01|01|43.25|255.75
142,-5.9917216,01,01,43.25|257.75,01|01|43.25|257.75
143,-6.4063635,01,01,43.25|259.75,01|01|43.25|259.75
144,-7.370097,01,01,43.25|261.75,01|01|43.25|261.75
145,-8.534067,01,01,43.25|263.75,01|01|43.25|263.75
146,-8.612576,01,01,43.25|265.75,01|01|43.25|265.75
147,-8.160781,01,01,43.25|267.75,01|01|43.25|267.75
148,-7.0530286,01,01,43.25|269.75,01|01|43.25|269.75
149,-5.5158296,01,01,43.25|271.75,01|01|43.25|271.75
150,-2.97706,01,01,43.25|273.75,01|01|43.25|273.75
151,-4.282438,01,01,43.25|275.75,01|01|43.25|275.75
152,-2.5683365,01,01,43.25|281.75,01|01|43.25|281.75
153,-2.7611625,01,01,43.25|283.75,01|01|43.25|283.75
154,-6.866479,01,01,43.25|285.75,01|01|43.25|285.75
155,-5.7329726,01,01,43.25|287.75,01|01|43.25|287.75
156,3.0618637,01,01,45.25|237.75,01|01|45.25|237.75
157,-0.5388698,01,01,45.25|239.75,01|01|45.25|239.75
158,-3.7891767,01,01,45.25|241.75,01|01|45.25|241.75
159,-6.6052594,01,01,45.25|243.75,01|01|45.25|243.75
160,-6.704417,01,01,45.25|245.75,01|01|45.25|245.75
161,-7.136985,01,01,45.25|247.75,01|01|45.25|247.75
162,-8.814074,01,01,45.25|249.75,01|01|45.25|249.75
163,-6.6512284,01,01,45.25|251.75,01|01|45.25|251.75
164,-6.292422,01,01,45.25|253.75,01|01|45.25|253.75
165,-6.8444376,01,01,45.25|255.75,01|01|45.25|255.75
166,-8.4348345,01,01,45.25|257.75,01|01|45.25|257.75
167,-9.565568,01,01,45.25|259.75,01|01|45.25|259.75
168,-11.772394,01,01,45.25|261.75,01|01|45.25|261.75
169,-10.81204,01,01,45.25|263.75,01|01|45.25|263.75
170,-10.060028,01,01,45.25|265.75,01|01|45.25|265.75
171,-9.459882,01,01,45.25|267.75,01|01|45.25|267.75
172,-10.0785475,01,01,45.25|269.75,01|01|45.25|269.75
173,-8.738753,01,01,45.25|271.75,01|01|45.25|271.75
174,-5.2929974,01,01,45.25|273.75,01|01|45.25|273.75
175,-5.9600697,01,01,45.25|275.75,01|01|45.25|275.75
176,-9.631767,01,01,45.25|289.75,01|01|45.25|289.75
177,-8.6376,01,01,45.25|291.75,01|01|45.25|291.75
178,4.2554207,01,01,47.25|237.75,01|01|47.25|237.75
179,-3.9382448,01,01,47.25|239.75,01|01|47.25|239.75
180,-2.4788783,01,01,47.25|241.75,01|01|47.25|241.75
181,-3.8866515,01,01,47.25|243.75,01|01|47.25|243.75
182,-5.14298,01,01,47.25|245.75,01|01|47.25|245.75
183,-5.5940814,01,01,47.25|247.75,01|01|47.25|247.75
184,-6.5167546,01,01,47.25|249.75,01|01|47.25|249.75
185,-7.421657,01,01,47.25|251.75,01|01|47.25|251.75
186,-9.754588,01,01,47.25|253.75,01|01|47.25|253.75
187,-10.359658,01,01,47.25|255.75,01|01|47.25|255.75
188,-11.095999,01,01,47.25|257.75,01|01|47.25|257.75
189,-13.041155,01,01,47.25|259.75,01|01|47.25|259.75
190,-13.486435,01,01,47.25|261.75,01|01|47.25|261.75
191,-13.569752,01,01,47.25|263.75,01|01|47.25|263.75
192,-12.813915,01,01,47.25|265.75,01|01|47.25|265.75
193,-12.337718,01,01,47.25|267.75,01|01|47.25|267.75
194,-10.3212185,01,01,47.25|269.75,01|01|47.25|269.75
195,-7.870423,01,01,47.25|271.75,01|01|47.25|271.75
196,-6.0390916,01,01,47.25|273.75,01|01|47.25|273.75
197,15.799243,01,02,27.25|261.75,02|01|27.25|261.75
198,17.755041,01,02,27.25|277.75,02|01|27.25|277.75
199,18.484634,01,02,27.25|279.75,02|01|27.25|279.75
200,13.715071,01,02,29.25|259.75,02|01|29.25|259.75
201,12.974766,01,02,29.25|261.75,02|01|29.25|261.75
202,13.388984,01,02,29.25|263.75,02|01|29.25|263.75
203,14.260517,01,02,29.25|277.75,02|01|29.25|277.75
204,7.5649724,01,02,31.25|255.75,02|01|31.25|255.75
205,8.827378,01,02,31.25|257.75,02|01|31.25|257.75
206,8.862396,01,02,31.25|259.75,02|01|31.25|259.75
207,10.038802,01,02,31.25|261.75,02|01|31.25|261.75
208,10.724579,01,02,31.25|263.75,02|01|31.25|263.75
209,11.129595,01,02,31.25|265.75,02|01|31.25|265.75
210,10.793368,01,02,31.25|267.75,02|01|31.25|267.75
211,11.12313,01,02,31.25|269.75,02|01|31.25|269.75
212,11.078378,01,02,31.25|271.75,02|01|31.25|271.75
213,10.550308,01,02,31.25|273.75,02|01|31.25|273.75
214,10.702688,01,02,31.25|275.75,02|01|31.25|275.75
215,11.74323,01,02,31.25|277.75,02|01|31.25|277.75
216,11.019093,01,02,33.25|243.75,02|01|33.25|243.75
217,13.210001,01,02,33.25|245.75,02|01|33.25|245.75
218,13.419853,01,02,33.25|247.75,02|01|33.25|247.75
219,8.307755,01,02,33.25|249.75,02|01|33.25|249.75
220,1.4396048,01,02,33.25|251.75,02|01|33.25|251.75
221,5.740682,01,02,33.25|253.75,02|01|33.25|253.75
222,6.4851847,01,02,33.25|255.75,02|01|33.25|255.75
223,6.008796,01,02,33.25|257.75,02|01|33.25|257.75
224,7.0672846,01,02,33.25|259.75,02|01|33.25|259.75
225,7.3308654,01,02,33.25|261.75,02|01|33.25|261.75
226,8.563688,01,02,33.25|263.75,02|01|33.25|263.75
227,9.283451,01,02,33.25|265.75,02|01|33.25|265.75
228,8.8730755,01,02,33.25|267.75,02|01|33.25|267.75
229,9.074932,01,02,33.25|269.75,02|01|33.25|269.75
230,8.742363,01,02,33.25|271.75,02|01|33.25|271.75
231,8.597823,01,02,33.25|273.75,02|01|33.25|273.75
232,7.6384797,01,02,33.25|275.75,02|01|33.25|275.75
233,8.338558,01,02,33.25|277.75,02|01|33.25|277.75
234,9.336975,01,02,33.25|279.75,02|01|33.25|279.75
235,9.230116,01,02,35.25|239.75,02|01|35.25|239.75
236,5.5044866,01,02,35.25|241.75,02|01|35.25|241.75
237,11.0857935,01,02,35.25|243.75,02|01|35.25|243.75
238,8.267322,01,02,35.25|245.75,02|01|35.25|245.75
239,1.2181807,01,02,35.25|247.75,02|01|35.25|247.75
240,1.3300897,01,02,35.25|249.75,02|01|35.25|249.75
241,-2.7389534,01,02,35.25|251.75,02|01|35.25|251.75
242,1.4059243,01,02,35.25|253.75,02|01|35.25|253.75
243,3.1203022,01,02,35.25|255.75,02|01|35.25|255.75
244,2.52169,01,02,35.25|257.75,02|01|35.25|257.75
245,3.5764847,01,02,35.25|259.75,02|01|35.25|259.75
246,4.2799635,01,02,35.25|261.75,02|01|35.25|261.75
247,5.3490252,01,02,35.25|263.75,02|01|35.25|263.75
248,5.831963,01,02,35.25|265.75,02|01|35.25|265.75
249,5.946782,01,02,35.25|267.75,02|01|35.25|267.75
250,7.0605607,01,02,35.25|269.75,02|01|35.25|269.75
251,5.9746323,01,02,35.25|271.75,02|01|35.25|271.75
252,5.6109586,01,02,35.25|273.75,02|01|35.25|273.75
253,4.8317327,01,02,35.25|275.75,02|01|35.25|275.75
254,5.3478804,01,02,35.25|277.75,02|01|35.25|277.75
255,6.1968856,01,02,35.25|279.75,02|01|35.25|279.75
256,7.31816,01,02,35.25|281.75,02|01|35.25|281.75
257,9.336226,01,02,37.25|239.75,02|01|37.25|239.75
258,1.1284633,01,02,37.25|241.75,02|01|37.25|241.75
259,2.353804,01,02,37.25|243.75,02|01|37.25|243.75
260,3.7607684,01,02,37.25|245.75,02|01|37.25|245.75
261,-0.97838926,01,02,37.25|247.75,02|01|37.25|247.75
262,0.6956376,01,02,37.25|249.75,02|01|37.25|249.75
263,-3.7664537,01,02,37.25|251.75,02|01|37.25|251.75
264,-9.465465,01,02,37.25|253.75,02|01|37.25|253.75
265,-1.1637877,01,02,37.25|255.75,02|01|37.25|255.75
266,0.29713657,01,02,37.25|257.75,02|01|37.25|257.75
267,0.84298533,01,02,37.25|259.75,02|01|37.25|259.75
268,1.8139818,01,02,37.25|261.75,02|01|37.25|261.75
269,1.9847194,01,02,37.25|263.75,02|01|37.25|263.75
270,2.890623,01,02,37.25|265.75,02|01|37.25|265.75
271,2.7924702,01,02,37.25|267.75,02|01|37.25|267.75
272,3.1303434,01,02,37.25|269.75,02|01|37.25|269.75
273,3.7077098,01,02,37.25|271.75,02|01|37.25|271.75
274,3.780696,01,02,37.25|273.75,02|01|37.25|273.75
275,3.6949215,01,02,37.25|275.75,02|01|37.25|275.75
276,2.9910052,01,02,37.25|277.75,02|01|37.25|277.75
277,1.708514,01,02,37.25|279.75,02|01|37.25|279.75
278,5.484904,01,02,37.25|281.75,02|01|37.25|281.75
279,9.009891,01,02,39.25|237.75,02|01|39.25|237.75
280,0.04924225,01,02,39.25|239.75,02|01|39.25|239.75
281,1.770013,01,02,39.25|241.75,02|01|39.25|241.75
282,-2.5576346,01,02,39.25|243.75,02|01|39.25|243.75
283,-3.0189335,01,02,39.25|245.75,02|01|39.25|245.75
284,-1.9466794,01,02,39.25|247.75,02|01|39.25|247.75
285,-2.3400805,01,02,39.25|249.75,02|01|39.25|249.75
286,-3.962666,01,02,39.25|251.75,02|01|39.25|251.75
287,-10.600501,01,02,39.25|253.75,02|01|39.25|253.75
288,-2.8543673,01,02,39.25|255.75,02|01|39.25|255.75
289,-1.961329,01,02,39.25|257.75,02|01|39.25|257.75
290,-1.3874613,01,02,39.25|259.75,02|01|39.25|259.75
291,-0.62736344,01,02,39.25|261.75,02|01|39.25|261.75
292,-0.6050316,01,02,39.25|263.75,02|01|39.25|263.75
293,-0.22997369,01,02,39.25|265.75,02|01|39.25|265.75
294,-0.43762815,01,02,39.25|267.75,02|01|39.25|267.75
295,0.091377325,01,02,39.25|269.75,02|01|39.25|269.75
296,0.052891243,01,02,39.25|271.75,02|01|39.25|271.75
297,0.55730885,01,02,39.25|273.75,02|01|39.25|273.75
298,0.8774007,01,02,39.25|275.75,02|01|39.25|275.75
299,0.63261163,01,02,39.25|277.75,02|01|39.25|277.75
300,0.70205736,01,02,39.25|279.75,02|01|39.25|279.75
301,1.2585168,01,02,39.25|281.75,02|01|39.25|281.75
302,2.2467175,01,02,39.25|283.75,02|01|39.25|283.75
303,1.4535027,01,02,41.25|237.75,02|01|41.25|237.75
304,-0.7560363,01,02,41.25|239.75,02|01|41.25|239.75
305,0.08753931,01,02,41.25|241.75,02|01|41.25|241.75
306,-3.4457767,01,02,41.25|243.75,02|01|41.25|243.75
307,-2.788019,01,02,41.25|245.75,02|01|41.25|245.75
308,-0.7373122,01,02,41.25|247.75,02|01|41.25|247.75
309,-8.140211,01,02,41.25|249.75,02|01|41.25|249.75
310,-6.389264,01,02,41.25|251.75,02|01|41.25|251.75
311,-8.748922,01,02,41.25|253.75,02|01|41.25|253.75
312,-3.207693,01,02,41.25|255.75,02|01|41.25|255.75
313,-2.548603,01,02,41.25|257.75,02|01|41.25|257.75
314,-3.46562,01,02,41.25|259.75,02|01|41.25|259.75
315,-3.9039476,01,02,41.25|261.75,02|01|41.25|261.75
316,-3.611365,01,02,41.25|263.75,02|01|41.25|263.75
317,-3.596245,01,02,41.25|265.75,02|01|41.25|265.75
318,-3.544182,01,02,41.25|267.75,02|01|41.25|267.75
319,-3.7889705,01,02,41.25|269.75,02|01|41.25|269.75
320,-2.7945936,01,02,41.25|271.75,02|01|41.25|271.75
321,-2.9574544,01,02,41.25|273.75,02|01|41.25|273.75
322,-2.8768861,01,02,41.25|275.75,02|01|41.25|275.75
323,-2.3745997,01,02,41.25|277.75,02|01|41.25|277.75
324,-2.3086264,01,02,41.25|279.75,02|01|41.25|279.75
325,-2.8028133,01,02,41.25|281.75,02|01|41.25|281.75
326,-2.0758808,01,02,41.25|283.75,02|01|41.25|283.75
327,-1.1966888,01,02,41.25|285.75,02|01|41.25|285.75
328,0.01117078,01,02,41.25|287.75,02|01|41.25|287.75
329,-1.0974362,01,02,43.25|237.75,02|01|43.25|237.75
330,-2.3589885,01,02,43.25|239.75,02|01|43.25|239.75
331,-3.0842555,01,02,43.25|241.75,02|01|43.25|241.75
332,1.1171347,01,02,43.25|243.75,02|01|43.25|243.75
333,-4.0220256,01,02,43.25|245.75,02|01|43.25|245.75
334,-5.0520916,01,02,43.25|247.75,02|01|43.25|247.75
335,-11.437375,01,02,43.25|249.75,02|01|43.25|249.75
336,-5.563874,01,02,43.25|251.75,02|01|43.25|251.75
337,-4.56449,01,02,43.25|253.75,02|01|43.25|253.75
338,-3.5397813,01,02,43.25|255.75,02|01|43.25|255.75
339,-4.3332934,01,02,43.25|257.75,02|01|43.25|257.75
340,-4.1344385,01,02,43.25|259.75,02|01|43.25|259.75
341,-4.7418876,01,02,43.25|261.75,02|01|43.25|261.75
342,-7.029933,01,02,43.25|263.75,02|01|43.25|263.75
343,-7.251508,01,02,43.25|265.75,02|01|43.25|265.75
344,-6.8933864,01,02,43.25|267.75,02|01|43.25|267.75
345,-5.9787893,01,02,43.25|269.75,02|01|43.25|269.75
346,-4.7749357,01,02,43.25|271.75,02|01|43.25|271.75
347,-2.961809,01,02,43.25|273.75,02|01|43.25|273.75
348,-4.4418616,01,02,43.25|275.75,02|01|43.25|275.75
349,-3.1333542,01,02,43.25|281.75,02|01|43.25|281.75
350,-3.6145031,01,02,43.25|283.75,02|01|43.25|283.75
351,-7.153369,01,02,43.25|285.75,02|01|43.25|285.75
352,-5.2554784,01,02,43.25|287.75,02|01|43.25|287.75
353,3.9412267,01,02,45.25|237.75,02|01|45.25|237.75
354,1.1105961,01,02,45.25|239.75,02|01|45.25|239.75
355,-2.6691146,01,02,45.25|241.75,02|01|45.25|241.75
356,-5.640426,01,02,45.25|243.75,02|01|45.25|243.75
357,-5.0355515,01,02,45.25|245.75,02|01|45.25|245.75
358,-5.9917808,01,02,45.25|247.75,02|01|45.25|247.75
359,-8.573861,01,02,45.25|249.75,02|01|45.25|249.75
360,-4.666494,01,02,45.25|251.75,02|01|45.25|251.75
361,-5.0195293,01,02,45.25|253.75,02|01|45.25|253.75
362,-5.414087,01,02,45.25|255.75,02|01|45.25|255.75
363,-6.723862,01,02,45.25|257.75,02|01|45.25|257.75
364,-7.476627,01,02,45.25|259.75,02|01|45.25|259.75
365,-9.685959,01,02,45.25|261.75,02|01|45.25|261.75
366,-9.803543,01,02,45.25|263.75,02|01|45.25|263.75
367,-8.997604,01,02,45.25|265.75,02|01|45.25|265.75
368,-8.616429,01,02,45.25|267.75,02|01|45.25|267.75
369,-9.929982,01,02,45.25|269.75,02|01|45.25|269.75
370,-9.033287,01,02,45.25|271.75,02|01|45.25|271.75
371,-6.483083,01,02,45.25|273.75,02|01|45.25|273.75
372,-7.079598,01,02,45.25|275.75,02|01|45.25|275.75
373,-10.034573,01,02,45.25|289.75,02|01|45.25|289.75
374,-9.213864,01,02,45.25|291.75,02|01|45.25|291.75
375,5.4072185,01,02,47.25|237.75,02|01|47.25|237.75
376,-1.5874659,01,02,47.25|239.75,02|01|47.25|239.75
377,-0.67379767,01,02,47.25|241.75,02|01|47.25|241.75
378,-2.4878275,01,02,47.25|243.75,02|01|47.25|243.75
379,-3.3525326,01,02,47.25|245.75,02|01|47.25|245.75
380,-3.6112218,01,02,47.25|247.75,02|01|47.25|247.75
381,-4.4261584,01,02,47.25|249.75,02|01|47.25|249.75
382,-5.5150385,01,02,47.25|251.75,02|01|47.25|251.75
383,-7.696992,01,02,47.25|253.75,02|01|47.25|253.75
384,-8.25752,01,02,47.25|255.75,02|01|47.25|255.75
385,-9.328583,01,02,47.25|257.75,02|01|47.25|257.75
386,-11.498478,01,02,47.25|259.75,02|01|47.25|259.75
387,-11.985339,01,02,47.25|261.75,02|01|47.25|261.75
388,-11.976612,01,02,47.25|263.75,02|01|47.25|263.75
389,-11.827347,01,02,47.25|265.75,02|01|47.25|265.75
390,-11.33559,01,02,47.25|267.75,02|01|47.25|267.75
391,-9.988329,01,02,47.25|269.75,02|01|47.25|269.75
392,-9.298882,01,02,47.25|271.75,02|01|47.25|271.75
393,-7.4978285,01,02,47.25|273.75,02|01|47.25|273.75
394,18.375143,01,03,27.25|261.75,03|01|27.25|261.75
395,20.036043,01,03,27.25|277.75,03|01|27.25|277.75
396,20.769335,01,03,27.25|279.75,03|01|27.25|279.75
397,16.334797,01,03,29.25|259.75,03|01|29.25|259.75
398,15.325286,01,03,29.25|261.75,03|01|29.25|261.75
399,16.04642,01,03,29.25|263.75,03|01|29.25|263.75
400,16.914764,01,03,29.25|277.75,03|01|29.25|277.75
401,10.118478,01,03,31.25|255.75,03|01|31.25|255.75
402,11.3799715,01,03,31.25|257.75,03|01|31.25|257.75
403,11.199231,01,03,31.25|259.75,03|01|31.25|259.75
404,11.747335,01,03,31.25|261.75,03|01|31.25|261.75
405,12.908605,01,03,31.25|263.75,03|01|31.25|263.75
406,14.010787,01,03,31.25|265.75,03|01|31.25|265.75
407,14.529766,01,03,31.25|267.75,03|01|31.25|267.75
408,14.556386,01,03,31.25|269.75,03|01|31.25|269.75
409,14.93349,01,03,31.25|271.75,03|01|31.25|271.75
410,14.595556,01,03,31.25|273.75,03|01|31.25|273.75
411,14.6464,01,03,31.25|275.75,03|01|31.25|275.75
412,15.102586,01,03,31.25|277.75,03|01|31.25|277.75
413,12.323714,01,03,33.25|243.75,03|01|33.25|243.75
414,15.070918,01,03,33.25|245.75,03|01|33.25|245.75
415,15.676101,01,03,33.25|247.75,03|01|33.25|247.75
416,10.619646,01,03,33.25|249.75,03|01|33.25|249.75
417,3.4677382,01,03,33.25|251.75,03|01|33.25|251.75
418,9.031195,01,03,33.25|253.75,03|01|33.25|253.75
419,9.189628,01,03,33.25|255.75,03|01|33.25|255.75
420,8.4116955,01,03,33.25|257.75,03|01|33.25|257.75
421,9.886985,01,03,33.25|259.75,03|01|33.25|259.75
422,10.103619,01,03,33.25|261.75,03|01|33.25|261.75
423,10.656667,01,03,33.25|263.75,03|01|33.25|263.75
424,11.625642,01,03,33.25|265.75,03|01|33.25|265.75
425,11.819365,01,03,33.25|267.75,03|01|33.25|267.75
426,12.413598,01,03,33.25|269.75,03|01|33.25|269.75
427,12.51115,01,03,33.25|271.75,03|01|33.25|271.75
428,12.389868,01,03,33.25|273.75,03|01|33.25|273.75
429,11.644992,01,03,33.25|275.75,03|01|33.25|275.75
430,12.569522,01,03,33.25|277.75,03|01|33.25|277.75
431,12.913705,01,03,33.25|279.75,03|01|33.25|279.75
432,10.359563,01,03,35.25|239.75,03|01|35.25|239.75
433,7.1798134,01,03,35.25|241.75,03|01|35.25|241.75
434,13.576496,01,03,35.25|243.75,03|01|35.25|243.75
435,10.062404,01,03,35.25|245.75,03|01|35.25|245.75
